阿城, 黑龙江省哈尔滨市阿城区会宁路61号, √, √, √, 哈尔滨铁路局,车站
阿里河, 内蒙古自治区呼伦贝尔盟鄂伦春自治旗阿里河镇, √, √, √, 哈尔滨铁路局,车站
阿龙山, 内蒙古自治区呼伦贝尔根河市阿龙山镇, √, √, √, 哈尔滨铁路局,车站
阿木尔, 黑龙江省大兴安岭地区漠河县劲涛镇, √, 　, 　, 哈尔滨铁路局,车站
安达, 黑龙江省安达市铁路街, √, √, √, 哈尔滨铁路局,车站
安家, 黑龙江省五常市安家镇, √, 　, 　, 哈尔滨铁路局,车站
昂昂溪, 黑龙江省齐齐哈尔市昂昂溪区陵园路23号, √, √, √, 哈尔滨铁路局,车站
八面通, 黑龙江省穆棱市八面通镇, √, 　, 　, 哈尔滨铁路局,车站
巴林, 内蒙古自治区牙克石市巴林镇巴林车站, √, 　, 　, 哈尔滨铁路局,车站
白奎堡, 黑龙江省哈尔滨市呼兰区白奎镇, √, 　, 　, 哈尔滨铁路局,车站
宝林, 黑龙江省林口县龙爪乡宝林村, √, 　, 　, 哈尔滨铁路局,车站
宝泉岭, 黑龙江省鹤岗市萝北县宝泉岭镇哈萝公路西侧, √, 　, 　, 哈尔滨铁路局,车站
北安, 黑龙江省北安市, √, √, √, 哈尔滨铁路局,车站
背荫河, 黑龙江省五常市背荫河镇, √, 　, 　, 哈尔滨铁路局,车站
笔架山, 黑龙江省双鸭山市集贤兴安乡, √,  ,  , 哈尔滨铁路局,车站
滨江, 黑龙江省哈尔滨市道外区滨江街28号, √,  ,  , 哈尔滨铁路局,车站
勃利, 黑龙江省勃利县城西街站前路84号, √, √, √, 哈尔滨铁路局,车站
博克图, 内蒙古自治区牙克石市博克图镇大直街博克图站, √, √, √, 哈尔滨铁路局,车站
柴河, 黑龙江省海林市柴河镇, √,  ,  , 哈尔滨铁路局,车站
长汀镇, 黑龙江省海林市, √,  ,  , 哈尔滨铁路局,车站
辰清, 黑龙江省黑河市孙吴县辰清镇, √,  ,  , 哈尔滨铁路局,车站
晨明, 黑龙江省伊春市南岔区晨明镇, √, 　, 　, 哈尔滨铁路局,车站
成高子, 黑龙江省哈市香坊区哈成路158号, √, 　, 　, 哈尔滨铁路局,车站
成吉思汗, 内蒙古自治区扎兰屯市成吉思汗镇大汗路成吉思汗车站, √, 　, 　, 哈尔滨铁路局,车站
楚山, 黑龙江省林口县龙爪乡楚山村, √, 　, 　, 哈尔滨铁路局,车站
嵯岗, 内蒙古自治区 呼伦贝尔市新巴尔虎左旗嵯岗镇嵯岗火车站, √,  ,  , 哈尔滨铁路局,车站
大庆, 黑龙江省大庆市萨尔图区中桥路51号, √, √, √, 哈尔滨铁路局,车站
大庆西, 黑龙江省大庆市让湖路区西虹路40号, √, √, √, 哈尔滨铁路局,车站
大兴, 黑龙江省泰来县大兴镇大兴车站, √, 　, 　, 哈尔滨铁路局,车站
大雁, 内蒙古自治区鄂温克旗巴彦镇前卫街大雁站, √, √, √, 哈尔滨铁路局,车站
大杨树, 内蒙古自治区呼伦贝尔盟鄂伦春自治旗大杨树镇, √, √, √, 哈尔滨铁路局,车站
